Account_Number,City,State_Province,Country,Zip_PostalCode,Sex,Birth_Year,Marital_Status,Employment_Status,Is_condition_due_to_an_accident,Reminder_Preference,Subscribed_Reminders,Subscribed_Recalls,Subscribed_Email_Campaigns,Subscribed_Birthday_Campaigns,Subscribed_Availability_Campaigns,Subscribe_Referral_Campaigns,Subscribe_Client_Satisfaction,Number_of_Appointments
1863,TACOMA,WA,US,98444,,1900,,,,,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,0
2778,UNIVERSITY PLACE,WA,US,98466,,1900,,,,,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,0
2801,TACOMA,WA,US,98407,,1900,,,,,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,0
2772,,,US,,,1900,,,,,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,0
3544,FEDERAL WAY,WA,US,98023,,1900,,,,,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,0
406,UNIVERSITY PLACE ,WA,US,98466,,1900,,,,,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,0
1237,,,US,,,1900,,,,,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,0
224,TACOMA,WA,US,98406,,1900,,,,,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,0
4879,UNIVERSITY PLACE,WA,US,98466,F,1967,M,E,No,text,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,6
472,SPANAWAY,WA,US,98387,,1900,,,,,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,0
1661,,,US,,,1900,,,,,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,0
3417,TACOMA,WA,US,98406,,1900,,,,,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,SUBSCRIBED,0
